schema_name,table_name,description,irsa_dbms,irsa_pos,cntr
public,glimpse3d_v2arc,"GLIMPSE 3D, 2007-2009 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>),(<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE3D_Archive_Erratum.html'>Erratum</a>)",ORACLE,y,130
public,glimpse3dep1a,"GLIMPSE 3D Epoch 1 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)",ORACLE,y,131
public,glimpse3dep1c,GLIMPSE 3D Epoch 1 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>),ORACLE,y,132
public,glimpse3dep2a,"GLIMPSE 3D Epoch 2 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)",ORACLE,y,133
public,glimpse3dep2mra,"GLIMPSE 3D Epoch 2 More Reliable Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)",ORACLE,y,134
public,glimpse_s07,GLIMPSE I Spring '07 Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>),ORACLE,y,135
public,glimpse_s07_ar,"GLIMPSE I Spring '07 Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)",ORACLE,y,136
public,heritagel100,HERITAGE LMC PACS 100 micron Catalog,ORACLE,y,137
public,heritagel160,HERITAGE LMC PACS 160 micron Catalog,ORACLE,y,138
public,heritagel250,HERITAGE LMC SPIRE 250 micron Catalog,ORACLE,y,139
spitzer,sagesmc_mips70f,"SAGE-SMC MIPS 70um Combined Epoch Full List (<a href='/data/SPITZER/SAGE/doc/SAGEMIPSv3_descriptions.html#reliable' target='doc'>more complete, less reliable</a>)",ORACLE,y,261
spitzer,sdwfs_lcurve,SDWFS Light Curve Catalog,ORACLE,y,262
spitzer,sdwfs_var,SDWFS Variability Catalog,ORACLE,y,263
spitzer,sepm24,SEP MIPS 24 micron Point Source Catalog,ORACLE,y,264
spitzer,sepm70,SEP MIPS 70 micron Point Source Catalog,ORACLE,y,265
spitzer,sepmext,SEP MIPS Extended Source Catalog,ORACLE,y,266
spitzer,servscdfsi1,SERVS CDFS 3.6 micron Catalog,ORACLE,y,267
spitzer,servscdfsi12,SERVS CDFS 2-band Catalog (highly reliable),ORACLE,y,268
spitzer,servscdfsi2,SERVS CDFS 4.5 micron Catalog,ORACLE,y,269
spitzer,servseni1,SERVS ELAIS N1 3.6 micron Catalog,ORACLE,y,270
spitzer,servseni12,SERVS ELAIS N1 2-band Catalog (highly reliable),ORACLE,y,271
spitzer,servseni2,SERVS ELAIS N1 4.5 micron Catalog,ORACLE,y,272
spitzer,servsesi1,SERVS ELAIS S1 3.6 micron Catalog,ORACLE,y,273
spitzer,servsesi12,SERVS ELAIS S1 2-band Catalog (highly reliable),ORACLE,y,274
spitzer,servsesi2,SERVS ELAIS S1 4.5 micron Catalog,ORACLE,y,275
spitzer,servslhi1,SERVS Lockman Hole 3.6 micron Catalog,ORACLE,y,276
spitzer,servslhi12,SERVS Lockman Hole 2-band Catalog (highly reliable),ORACLE,y,277
spitzer,servslhi2,SERVS Lockman Hole 4.5 micron Catalog,ORACLE,y,278
spitzer,servsxmmi1,SERVS XMM-LSS 3.6 micron Catalog,ORACLE,y,279
spitzer,servsxmmi12,SERVS XMM-LSS 2-band Catalog (highly reliable),ORACLE,y,280
spitzer,servsxmmi2,SERVS XMM-LSS 4.5 micron Catalog,ORACLE,y,281
spitzer,spuds_irac,SpUDS IRAC Catalog,ORACLE,y,282
spitzer,spuds_mips,SpUDS MIPS Catalog,ORACLE,y,283
spitzer,ssdf1,SSDF IRAC Ch1 Catalog,ORACLE,y,284
spitzer,ssdf2,SSDF IRAC Ch2 Catalog,ORACLE,y,285
spitzer,ssid2,SAGE-Spec ID Search,ORACLE,n,286
spitzer,velcara,"Vela-Carina Archive (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>more complete, less reliable</a>)",ORACLE,y,287
spitzer,velcarc,Vela-Carina Catalog (<a href='/data/SPITZER/GLIMPSE/gator_docs/GLIMPSE_colDescriptions.html' target='doc'>highly reliable</a>),ORACLE,y,288
swire,chandra_160_cat_f05,SWIRE CDFS Region 160um Fall '05 SWIRE Spitzer Catalog,ORACLE,y,289
swire,chandra_24_cat_f05,SWIRE CDFS Region 24um Fall '05 Spitzer Catalog,ORACLE,y,290
swire,chandra_70_cat_f05,SWIRE CDFS Region 70um Fall '05 Spitzer Catalog,ORACLE,y,291
swire,chandra_cat_f05,SWIRE CDFS Region Fall '05  Spitzer Catalog,ORACLE,y,292
swire,elaisn1_160_cat_s05,SWIRE ELAIS N1 Region 160um Spring '05 Spitzer Catalog,ORACLE,y,293
swire,elaisn1_24_cat_s05,SWIRE ELAIS N1 Region 24um Spring '05 Spitzer Catalog,ORACLE,y,294
swire,elaisn1_70_cat_s05,SWIRE ELAIS N1 Region 70um Spring '05 Spitzer Catalog,ORACLE,y,295
swire,elaisn1_cat_s05,SWIRE ELAIS N1 Region Spring '05 Spitzer Catalog,ORACLE,y,296
swire,elaisn2_160_cat_s05,SWIRE ELAIS N2 Region 160um Spring '05 Spitzer Catalog,ORACLE,y,297
swire,elaisn2_24_cat_s05,SWIRE ELAIS N2 Region 24um Spring '05 Spitzer Catalog,ORACLE,y,298
swire,elaisn2_70_cat_s05,SWIRE ELAIS N2 Region 70um Spring '05 Spitzer Catalog,ORACLE,y,299
swire,elaisn2_cat_s05,SWIRE ELAIS N2 Region Spring '05 Spitzer Catalog,ORACLE,y,300
swire,elaiss1_160_cat_f05,SWIRE ELAIS S1 Region 160um Fall '05 Spitzer Catalog,ORACLE,y,301
swire,elaiss1_24_cat_f05,SWIRE ELAIS S1 Region 24um Fall '05 Spitzer Catalog,ORACLE,y,302
swire,elaiss1_70_cat_f05,SWIRE ELAIS S1 Region 70um Fall '05 Spitzer Catalog,ORACLE,y,303
swire,elaiss1_cat_f05,SWIRE ELAIS S1 Region Fall '05 SWIRE Spitzer Catalog,ORACLE,y,304
swire,lockman_160_cat_s05,SWIRE Lockman Region 160um Spring '05 Spitzer Catalog,ORACLE,y,305
swire,lockman_24_cat_s05,SWIRE Lockman Region 24um Spring '05 Spitzer Catalog,ORACLE,y,306
swire,lockman_70_cat_s05,SWIRE Lockman Region 70um Spring '05 Spitzer Catalog,ORACLE,y,307
swire,lockman_cat_s05,SWIRE Lockman Region Spring '05 SWIRE Spitzer Catalog,ORACLE,y,308
swire,xmm_160_cat_s05,SWIRE XMM_LSS Region 160um Spring '05 Spitzer Catalog,ORACLE,y,309
swire,xmm_24_cat_s05,SWIRE XMM_LSS Region 24um Spring '05 Spitzer Catalog,ORACLE,y,310
swire,xmm_70_cat_s05,SWIRE XMM_LSS Region 70um Spring '05 Spitzer Catalog,ORACLE,y,311
swire,xmm_cat_s05,SWIRE XMM_LSS Region Spring '05 Spitzer Catalog,ORACLE,y,312
tmassr,ext_src_cat1,2MASS First Incremental Release Extended Source Catalog (XSC),ORACLE,y,313
tmassr,exts_samp_cat,2MASS Sampler Extended Source Catalog (XSC),ORACLE,y,314
tmassr,pt_src_cat1,2MASS First Incremental Release Point Source Catalog (PSC),ORACLE,y,315
